"","pred.tag$id","predict","pre_flag"
"1","U1E63A3",0.269026217564769,0
"2","U3EC77F",0.101313739050443,0
"3","U27DC0C",0.0414846802402361,0
"4","U3FAAAC",0.231517190089537,0
"5","U04EA0B",0.33286520962472,0
"6","U41319C",0.274546943278897,0
"7","U3DF7A7",0.137398577010045,0
"8","U209ACC",0.177797015087946,0
"9","U4A883D",0.11585093703977,0
"10","U333BB1",0.699711947819097,1
"11","U3606F7",0.165327377432125,0
"12","U5237B1",0.355207515418528,0
"13","U4CBDF4",0.121679658738891,0
"14","U40C23B",0.236262437694302,0
"15","U511B56",0.320383454417365,0
"16","U2A8471",0.16843291184482,0
"17","U319AA3",0.143424566781185,0
"18","U02E468",0.661524912590784,1
"19","U483869",0.161724872106615,0
"20","U0A35B4",0.496802522976809,0
"21","U08FCA4",0.426047095442869,0
"22","U3FE578",0.164202898617871,0
"23","U03DC0B",0.148547906553123,0
"24","U05E64A",0.130507408101601,0
"25","U317424",0.354357585196114,0
"26","U25A083",0.370154885746611,0
"27","U1170DD",0.271426039401649,0
"28","U22C251",0.0805037758852672,0
"29","U192810",0.10930996716631,0
"30","U191DAF",0.19335195685228,0
"31","U370A32",0.393073295019103,0
"32","U17AE2E",0.648341321612183,1
"33","U08EE70",0.168565621440202,0
"34","U465455",0.225470555445963,0
"35","U3FF68A",0.156447688808527,0
"36","U322544",0.399353446149973,0
"37","U0FE3A3",0.599753631043338,1
"38","U30F311",0.461869657417302,0
"39","U322C74",0.121422525225129,0
"40","U17B9D1",0.0491491756657026,0
"41","U475C3E",0.139230553381504,0
"42","U2A55EF",0.606944812570448,1
"43","U1B39F1",0.480677672471341,0
"44","U2063EE",0.458071803521189,0
"45","U517885",0.0995549866761401,0
"46","U1F54EA",0.241947511435534,0
"47","U1DDB7A",0.286964362588208,0
"48","U0B5584",0.464249663201749,0
"49","U2944EE",0.215824535794428,0
"50","U2E9A0B",0.300803476247552,0
"51","U5249A2",0.398643869867959,0
"52","U2B624F",0.199400359370922,0
"53","U1BAC7D",0.185932849922361,0
"54","U2483FF",0.189263506278338,0
"55","U402FF4",0.13451459870377,0
"56","U23C0A8",0.73186041207684,1
"57","U4DD00B",0.353274536135541,0
"58","U201C4A",0.23493948262789,0
"59","U29CA1D",0.175746728260265,0
"60","U3316E6",0.0882609777514232,0
"61","U3EBC3A",0.1401033277064,0
"62","U37D6E8",0.126525021986871,0
"63","U310D8E",0.255896591265774,0
"64","U323A4E",0.650159345680144,1
"65","U091DA2",0.386511366072009,0
